,edit_count,sentiment,neg_sentiment
2020-04-11,0.5666666666666667,-0.02856039428521716,0.4
2020-04-12,0.6,-0.06163786872038765,0.43333333333333335
2020-04-13,0.6,-0.06163786872038765,0.43333333333333335
2020-04-14,0.6,-0.06163786872038765,0.43333333333333335
2020-04-15,0.6333333333333333,-0.02861466232746366,0.43333333333333335
2020-04-16,0.6333333333333333,-0.02861466232746366,0.43333333333333335
2020-04-17,0.6,0.00470720307221489,0.4
2020-04-18,0.6,0.00470720307221489,0.4
2020-04-19,0.5333333333333333,0.037724350652997465,0.3333333333333333
2020-04-20,0.3,0.05773900879753961,0.13333333333333333
2020-04-21,0.3,0.05773900879753961,0.13333333333333333
2020-04-22,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-04-23,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-04-24,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-04-25,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-04-26,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-04-27,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-04-28,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-04-29,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-04-30,0.26666666666666666,0.024976439608467956,0.13333333333333333
2020-05-01,0.3333333333333333,-0.03036675585640801,0.23333333333333334
2020-05-02,0.26666666666666666,-0.06344951722357008,0.23333333333333334
2020-05-03,0.2,-0.06272823479440476,0.16666666666666666
2020-05-04,0.2,-0.06272823479440476,0.16666666666666666
2020-05-05,0.2,-0.06272823479440476,0.16666666666666666
2020-05-06,0.3,-0.0953017148706648,0.26666666666666666
2020-05-07,0.3,-0.0953017148706648,0.26666666666666666
2020-05-08,0.3,-0.0953017148706648,0.26666666666666666
2020-05-09,0.3,-0.0953017148706648,0.26666666666666666
2020-05-10,0.3,-0.0953017148706648,0.26666666666666666
2020-05-11,0.4,-0.10623263981607224,0.3333333333333333
2020-05-12,0.36666666666666664,-0.07315516538090175,0.3
2020-05-13,0.36666666666666664,-0.07315516538090175,0.3
2020-05-14,0.36666666666666664,-0.07315516538090175,0.3
2020-05-15,0.3333333333333333,-0.10617837177382575,0.3
2020-05-16,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-17,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-18,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-19,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-20,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-21,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-22,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-23,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-24,0.43333333333333335,-0.12003645367092555,0.36666666666666664
2020-05-25,0.9333333333333333,-0.1368693346447415,0.7333333333333333
2020-05-26,1.0,-0.17009601639376745,0.8
2020-05-27,1.0,-0.17009601639376745,0.8
2020-05-28,1.0,-0.17009601639376745,0.8
2020-05-29,1.0,-0.17009601639376745,0.8
2020-05-30,1.0333333333333334,-0.2033961996104982,0.8333333333333334
2020-05-31,0.9333333333333333,-0.1729903676112493,0.7333333333333333
2020-06-01,0.9333333333333333,-0.1729903676112493,0.7333333333333333
2020-06-02,0.9,-0.14072223285833996,0.7
2020-06-03,0.9333333333333333,-0.1645259338617325,0.7333333333333333
2020-06-04,0.9333333333333333,-0.1645259338617325,0.7333333333333333
2020-06-05,0.8333333333333334,-0.13195245378547243,0.6333333333333333
2020-06-06,0.8333333333333334,-0.13195245378547243,0.6333333333333333
2020-06-07,0.8333333333333334,-0.13195245378547243,0.6333333333333333
2020-06-08,0.8333333333333334,-0.13195245378547243,0.6333333333333333
2020-06-09,0.8333333333333334,-0.13195245378547243,0.6333333333333333
2020-06-10,0.7333333333333333,-0.12102152884006498,0.5666666666666667
2020-06-11,0.7333333333333333,-0.12102152884006498,0.5666666666666667
2020-06-12,0.7333333333333333,-0.12102152884006498,0.5666666666666667
2020-06-13,0.7333333333333333,-0.12102152884006498,0.5666666666666667
2020-06-14,0.7333333333333333,-0.12102152884006498,0.5666666666666667
2020-06-15,0.6333333333333333,-0.10716344694296517,0.5
2020-06-16,0.6333333333333333,-0.10716344694296517,0.5
2020-06-17,0.6333333333333333,-0.10716344694296517,0.5
